CellName,goodcells,signicells,goodLLHcells,spatialcells,LLHi_vis,LLHi_pos,LLHrel,iPos_pval,posKernel_maxabs,overallResp_pval,LLHrel_omit,goodOmitcells
M26004_20260318_cell#65,1,1,1,1,0.0368141380611488,0.0609531668879773,1.6556999592584,0,79.2952833209317,0,0.995502593475258,0
M26004_20260318_cell#66,1,0,0,0,0.0411358792894547,0.0402744394161958,0.979058673641145,1,0,0,0.991743269301784,0
M26004_20260318_cell#67,1,1,1,1,0.217269184403207,0.221201463721815,1.01809865181484,0,48.1490374721454,0,1.00130244672105,0
M26004_20260318_cell#68,1,1,1,1,0.0423109137030881,0.0474246646065914,1.12086127327309,0,76.2647356408084,0,0.955131702077589,0
M26004_20260318_cell#69,1,1,1,1,0.144465426839611,0.15234730347315,1.05455891285525,0,92.4716136185178,0,0.994985628328389,0
M26004_20260318_cell#70,1,1,1,1,0.0503317256119718,0.0670356317342588,1.3318762851698,0,69.6801670090336,0,0.995359521166781,0
M26004_20260318_cell#71,0,0,0,0,0.0255805611877309,0.0249921662581053,0.976998357256219,1,0,1,0.919377282149845,0
M26004_20260318_cell#72,1,1,1,1,0.0679405719868267,0.0820916294899903,1.20828581640301,0,42.3785312013188,0,1.01524846699423,1
M26004_20260318_cell#73,1,0,0,0,0.0748434978829853,0.0692112999708899,0.92474699778328,1,0,0,0.968136052334894,0
M26004_20260318_cell#74,1,1,1,1,0.0235471552729882,0.0302977155359864,1.28668262406806,0,69.7189884289142,0,0.951650044852852,0
M26004_20260318_cell#75,1,0,0,0,0.0538373925164298,0.0489161573623131,0.908590759617214,1,0,0.00108688836706627,0.930037019374873,0
M26004_20260318_cell#76,1,1,1,1,0.0578879704957596,0.0676683416229634,1.16895342924348,0,101.465271743769,0,0.969363981228318,0
M26004_20260318_cell#77,1,1,1,1,0.0291968479372955,0.0309433399113673,1.05981782615105,4.79019712784634e-10,16.407546934571,0,0.966761350801732,0
M26004_20260318_cell#78,1,1,1,1,0.0473620134149885,0.0529560364452173,1.11811201903968,0,44.7009621860031,0,0.985618956924232,0
M26004_20260318_cell#79,1,1,1,1,0.0187715944952337,0.0256465954726207,1.36624491218008,0,35.235549301302,0,0.958144121819696,0
M26004_20260318_cell#80,1,0,0,0,0.0408620157684738,0.0409161724341652,1.00132535472548,1,0,0,0.986667004917809,0
M26004_20260318_cell#81,1,1,1,1,0.0403817403715536,0.0588139129415734,1.45644819664593,0,170.100350152279,0,0.985150030072843,0
M26004_20260318_cell#82,1,0,0,0,0.0489472242169842,0.0463405135404498,0.946744463690551,1,0,0,0.978900184659846,0
M26004_20260318_cell#83,1,0,1,0,0.0140826070840212,0.0147992089705797,1.05088559826196,1,0,7.00713009094134e-06,0.863465881044892,0
M26004_20260318_cell#84,0,0,0,0,0.0579943008898887,0.0579515754782717,0.999263282581885,0.999999999999908,0,0,0.898023781761894,0
M26004_20260318_cell#85,0,1,1,0,0.0184500007109825,0.0199449983564061,1.08102967955625,0,11.747809553141,0.999995495655351,NaN,0
M26004_20260318_cell#86,1,1,1,1,0.0168693273159642,0.0221253954201299,1.31157544137469,0,36.0345523141821,0,0.898888861790701,0
M26004_20260318_cell#87,1,1,1,1,0.0767133843979783,0.0929135194083177,1.21117742539288,0,77.142008739163,0,0.935554728794879,0
